Title,Call No,Copy No,Rayon,Branch
Mécanique des milieux continus : Tome 1 : Concepts généraux (1Cédérom),PH 258,B1,1,Main
Mécanique des fluides,PH 257,B1,2,Main
Maîtriser les progiciels ERP (GESTION G),IT 8011,B3,1,Main
Mind Map: Dessine-moi l'intelligence. (Les Guides Buzan) (French Edition),DP,19055,B7,1
Communications sur fibres optiques,IT 8005,B3,1,Main
Signaux aléatoires et processus stochastiques,PH 2 B1,1,Main,04/06/2025 23:49
Relativité générale et astrophysique problèmes et exercices corrigés (GRENOBLE SCIENCES),PH 1881,B1,1,Main
Analyse numérique et optimisation: Nouvelle édition (ECOLE POLYTECHNIQUE) (French Edition),MA,6010,B3,2
An Introduction to Multivariate Statistical Analysis,MA,6007,B3,1
Éléments de physique statistique (Les cours) (French Edition),PH 1806,B1,3,Main
Petite introduction à la théorie des cordes (UniverSciences) (French Edition),PH 1869,B1,1,Main
Economic and Financial Decisions under Risk,EF,10003,B3,3
Forme et origine de l'Univers - Regards philosophiques sur la cosmologie: Regards philosophiques sur la cosmologie (UniverSciences) (French Edition),PI,21007,B8,1
Sophrologie et Sport - Manuel pratique: Manuel pratique (Développement personnel et accompagnement) (French Edition),DP,19071,B7,1
L ANTI OEDIPE CAPITALISME ET SCHIZOPHRENIE 1 (CRITIQUE),PI,21008,B8,1
Traite de physique et de philosophie (French Edition),PH 1887,B1,1,Main
Le capital au XXI siècle (French Edition) (Les Livres du nouveau monde),EF,10014,B3,1
Extérieur monde (Blanche) (French Edition),FR,16045,B5,1
Pantopie : de Hermès à Petite Poucette (Essais & Documents) (French Edition),FR,16166,B5,1
"Le Petit Grevisse / Small Grevisse (Wallonie, art et histoire ; 33) (French Edition)",FR,16101,B5,1
Endogenous Growth Theory (The MIT Press),EC,23029,B10,2
THE SIX SIGMA WAY : How to Maximize the Impact of Your Change and Improvement Efforts,12024,B4,1,Main
Variation et optimisation de formes: Une analyse géométrique (Mathématiques et Applications) (French Edition),MA,6092,B3,1
"The Feynman Lectures on Physics, Vol. II: The New Millennium Edition: Mainly Electromagnetism and Matter (Feynman Lectures on Physics (Paperback)) (Volume 2)",PH 1312,B1,1,Main
Fundamentals of Signals and Systems Using the Web and MATLAB,IT 8010,B3,1,Main
Nonlinear Systems Pnie,MA,6064,B3,1
Pouvoir Illimite (Aventure Secrete) (French Edition),DP,19062,B7,1
Les ressources insoupconnées de la colère (Pratiques),DP,19048,B7,2
Maîtriser les progiciels ERP (GESTION G),IT 8011,B3,2,Main
LES SCIENCES ARABES EN AFRIQUE (Manuscrits du désert) (French Edition),SH,18028,B6,2
LES SCIENCES ARABES EN AFRIQUE (Manuscrits du désert) (French Edition),SH,18028,B6,3
Dictionnaire culturel du sport (French Edition),DI,24004,B10,1
Parler en public avec succès (Livres outils - Efficacité professionnelle) (French Edition),DP,19060,B7,1
Rebecca (Penguin Longman Penguin Readers),LA,17063,B5,1
Charlotte [ edition poche ] (Folio) (French Edition),FR,16023,B5,1
Hydrodynamic Instability and Transition to Turbulence (Fluid Mechanics and Its Applications),PH 255,B1,1,Main
Engrenages cylindriques de transmission de puissance - Étude géométrique - 2e édition,PH 252,B1,1,Main
Fundamentals of Signals and Systems Using the Web and MATLAB,IT 8010,B3,2,Main
What Kind of Life: The Limits of Medical Progress,SH,18043,B6,1
"Les Objets fractals: FORME, HASARD ET DIMENSION (Champs sciences) (French Edition)",SH,18026,B6,1
Mécanique expérimentale des fluides - Tome 1 - 5ème édition (Mécanique expérimentale des fluides (1)) (French Edition),PH 259,B1,1,Main
Probabilités pour les sciences de l'ingénieur - Cours et exercices corrigés: Cours et exercices corrigés (Sciences Sup) (French Edition),MA,6071,B3,1
Gérer les références produits standardiser ou diversifier: la méthode diversité (ED ORGANISATION),GI,12006,B4,4
Recherche opérationnelle: Aspects mathématiques et applications (ECOLE POLYTECHNIQUE) (French Edition),GI,12018,B4,1
Gérer les références produits standardiser ou diversifier: la méthode diversité (ED ORGANISATION),GI,12006,B4,5
Distribución comercial (Libros profesionales) (Spanish Edition),GI,12003,B4,1
DIRECCION DE VENTAS - 8 EDICION,FR,16038,B5,1
"Les fibres optiques : Notions fondamentales (Câbles, Connectique, Composants, Protocoles, Réseaux...)",PH 501,B1,1,Main
DIRECCIÓN DE MARKETING - Fundamentos y aplicaciones,MK,15002,B4,1
INTRODUCTION À L'ÉCONOMÉTRIE - 2ÈME ÉDITION (PRÉCIS DOMAT),EF,10012,B3,2
Histoire du Maroc (French Edition),HP,20014,B8,1
OPTIONS FUTURES & AUT. ACTIFS DERIVES 9E (ECO GESTION) (French Edition),EF,10019,B3,1
eléments de micro-économie. théorie et applications - 8ème édition (PRÉCIS DOMAT),EF,10008,B3,2
Le Boson et le Chapeau Mexicain (Folio essais) (French Edition),FR,16082,B5,2
La place de L'étoile (Folio) (French Edition),FR,16171,B5,1
Aide-mémoire des éléments finis - NP (French Edition),MA,6004,B3,1
Relativité générale (Physique) (French Edition),PH 1880,B1,1,Main
"Topics in Stochastic Systems: Modelling, Estimation and Adaptive Control (Lecture Notes in Control and Information Sciences)",MA,6090,B3,1
La théorie de la relativité restreinte et générale - 2e éd. (IDEM) (French Edition),PH 1890,B1,1,Main
Introduction au calcul scientifique par la pratique - 12 projets résolus avec Matlab: 12 projets résolus avec Matlab (Sciences Sup) (French Edition),MA,6044,B3,1
Initiation à l’analyse complexe - Cours et exercices corrigés (Références sciences),MA,6040,B3,3
L'Univers chiffonné (Temps des sciences) (French Edition),FR,16149,B5,1
L'Univers chiffonné (Temps des sciences) (French Edition),FR,16149,B5,2
SYSTEMES DISTRIBUES PERTURBES (ETUDES),PH 267,B1,1,Main
Homogenization of Differential Operators and Integral Functionals,MA,6036,B3,1
Age d'or des sciences arabes (l'): Viiie-xve siècle (Beaux livres (as)) (French Edition),HP,20001,B8,1
Multivariable Feedback Control: Analysis and Design,DP,19056,B7,1
La Structure des révolutions scientifiques (Champs sciences (791)),SH,18025,B6,1
Contre-histoire de la philosophie tome 7 : La Construction du surhomme: Contre-histoire de la philosophie t.7 (Contre- histoire de la philosophie (7)) (French Edition),PI,21002,B8,1
Strengths finder 2.0,DP,19074,B7,1
Nonlinear Multiobjective Optimization (International Series in Operations Research & Management Science (12)),MA,6062,B3,1
"Lectures on Modern Convex Optimization: Analysis, Algorithms, and Engineering Applications (MPS-SIAM Series on Optimization)",MA,6047,B3,1
La prière de l'absent (Points) (French Edition),FR,16072,B5,1
Les Noces fabuleuses du Polonais (Best) (French Edition),FR,16136,B5,9
1984 (Folio) (French Edition),FR,16002,B5,1
"Simulation of Dynamic Systems with MATLAB and Simulink, Second Edition",IT 8019,B3,1,Main
Convex Optimization,MA,6019,B3,1
Ordinary Differential Equations (Universitext),MA,6065,B3,3
Fundamentals of Signals and Systems Using the Web and MATLAB,IT 8010,B3,3,Main
Mécanique des milieux continus : Tome 1 : Concepts généraux (1Cédérom),PH 258,B1,2,Main
"p-adic Numbers, p-adic Analysis, and Zeta-Functions (Graduate Texts in Mathematics (58))",MA,6066,B3,1
Nonlinear Systems Analysis (Classics in Applied Mathematics) (No. 42),MA,6063,B3,2
Mécanique expérimentale des fluides - Tome 3 - 5ème édition - Recueils d'exercices: Exercices corrigés avec rappels de cours (Mécanique expérimentale des fluides (3)) (French Edition),PH 270,B1,1,Main
Age d'or des sciences arabes (l'): Viiie-xve siècle (Beaux livres (as)) (French Edition),HP,20001,B8,2
Apprendre à développer un site web avec PHP et MySQL - Exercices pratiques et corrigés (3ième édition),IT 8003,B3,1,Main
Cosmologie - Des fondements théoriques aux observations: Des fondements théoriques aux observations (SAVOIRS ACTUELS) (French Edition),FR,16026,B5,1
Systèmes hyperboliques de lois de conservation: Application à la dynamique des gaz (ECOLE POLYTECHNIQUE) (French Edition),PH 266,B1,1,Main
D'al-Khwarizmi à Descartes : étude sur l'histoire des mathématiques classiques,16029,B5,1,Main
Nonlinear Systems Analysis (Classics in Applied Mathematics) (No. 42),MA,6063,B3,3
Topology Optimization,MA,6091,B3,1
"Optimisation en sciences de l'ingénieur : Métaheuristiques, méthodes stochastiques et aide à la décision",GI,12015,B4,1
"Extreme Programming Explained: Embrace Change, 2nd Edition (The XP Series)",IT 8009,B3,1,Main
